ID,Type of Sale,Price,Size (Sq Ft),Baths,Beds,Latitude,Longitude,Street
1,Realtor,3500000,5400,3.5,5,32.563192,-97.141677,1034 St Georges Mill
2,Realtor,1250000,8500,2,5,32.570543,-97.081768,1056 Harlech Boulevard
3,Realtor,1250000,8500,3,5,32.570543,-97.081768,1078 Bailey Vale
4,Realtor,87500,1205,1,1,32.564206,-97.199649,1100 Mallow Highway
5,Realtor,207500,2000,2,3,32.548001,-97.196728,1122 Brick Crest
6,Realtor,2897965,8000,4.5,6,32.52182,-97.128397,1144 Oakfield Firs
7,By Owner,420000,2300,2,5,32.604284,-97.072982,1166 Markham Park
8,Realtor,660000,2644,2.5,4,32.592696,-97.093698,1188 Pemberton Point
9,Realtor,179000,1659,2,3,32.54913,-97.116258,1210 Sileby Rd.
10,Realtor,549000,3503,3.5,3,32.577382,-97.104811,1232 Willoughby Cedars
11,Realtor,459000,4181,3.5,5,32.587542,-97.11526,1254 Walter Reach
12,Realtor,495000,3488,4,4,32.591463,-97.089896,1276 Keats Ct.
13,Realtor,472827,3532,3,4,32.574525,-97.097907,1298 Westland Pastures
14,Realtor,2590000,5420,4,9,32.554205,-97.166444,1320 Golf Dr.
15,Realtor,299900,2850,3,4,32.577207,-97.16101,1342 Grenville Brow
16,Realtor,264900,2237,2,3,32.590745,-97.133797,1364 Brunel Way
17,Realtor,437525,3069,3,3,32.574525,-97.097907,1386 Upper Spinney
18,Realtor,135000,1285,2,4,32.578257,-97.138704,1408 Thornbury Ct.
19,Realtor,399640,3359,2,3,32.599163,-97.153559,1430 Edgehill Beeches
20,Realtor,134500,1485,2,3,32.576407,-97.141114,1452 Oakley Ct.
21,Realtor,385000,3209,3.5,4,32.611891,-97.153114,1474 Gaulby Dr.
22,Realtor,290000,1792,2,3,32.601761,-97.189438,1496 Wright Brambles
23,Realtor,300000,2256,2,3,32.599163,-97.153559,1518 Barn Cir.
24,Realtor,455478,3092,2.5,4,32.563192,-97.141677,1540 Boswell Glen
25,Realtor,250000,2542,2,4,32.602539,-97.126025,1562 Glenfield Row
26,Realtor,469990,3291,3.5,4,32.563192,-97.141677,1584 Thornbury Dale
27,Realtor,489900,3711,3.5,4,32.563192,-97.141677,1606 Braemar South
28,Realtor,129000,1579,1.5,4,32.554488,-97.209475,1628 Back Ln.
29,Realtor,3500000,4800,3.5,6,32.563366,-97.104669,1650 Newland Lea
30,Realtor,2275000,12200,8.5,6,32.606302,-97.159064,1672 Lynmouth Warren
31,Realtor,625000,5185,3.5,5,32.593412,-97.095337,1694 Adam Warren
32,Realtor,150000,2100,2,3,32.590923,-97.190701,1716 Don Royd
33,By Owner,474900,2740,3,4,32.539568,-97.169042,1738 Graham Pines
34,Realtor,1473000,5500,2.5,5,32.549594,-97.108357,1760 Conishead Rd.
35,Realtor,474500,4818,3,4,32.566829,-97.196188,1782 Buddlesgate
36,Realtor,489900,2240,2,3,32.59313,-97.203895,1804 Havelock Cross
37,Foreclosure,77000,3500,2.5,3,32.566005,-97.197136,1826 Edgar St.
38,Realtor,172500,1659,2,3,32.589345,-97.138159,1848 Marine Place
39,Realtor,50000,1108,1,1,32.568362,-97.197049,1870 Buckingham Farm
40,Realtor,140000,1726,2,3,32.590347,-97.139161,1892 Collins Manor
41,By Owner,425000,1493,2,3,32.574379,-97.206254,1914 Buxton Grange
42,Realtor,283000,3964,3.5,4,32.574405,-97.076622,1936 Pemberton Bank
43,Realtor,225000,2624,2,4,32.573869,-97.076893,1958 Pl.ain South
44,Realtor,389900,3010,2.5,4,32.574913,-97.103974,1980 Intake Row
45,Realtor,389000,2890,2.5,3,32.57518,-97.096545,2002 BRd.lands St.
46,Realtor,254000,3136,2.5,4,32.575845,-97.073377,2024 Bright Hall
47,Realtor,515000,4131,3.5,4,32.568525,-97.206263,2046 Wormalds Yard
48,Realtor,419990,3048,3,4,32.56828,-97.200959,2068 Dosk Ave.
49,Realtor,344899,3887,3.5,5,32.574214,-97.096179,2090 Curtis Garth
50,Realtor,425000,4155,3.5,4,32.574903,-97.102685,2112 Whittle Pleasant
51,Realtor,205000,2044,2,3,32.551861,-97.059699,2134 Brecon Pastures
52,Realtor,344950,2986,3.5,4,32.58355,-97.107375,2156 Turnberry Drive
53,Realtor,574916,4400,4,4,32.569673,-97.061312,2178 Kingsmead Cross
54,Realtor,245000,2650,2.5,4,32.575362,-97.073064,2200 Abbotsford Town
55,Realtor,339000,3620,3.5,5,32.551185,-97.068349,2222 Ladywell Lawns
56,Realtor,455000,3838,3.5,4,32.57518,-97.096545,2244 Eskdale Grange
57,Realtor,439000,3740,3.5,4,32.574965,-97.09705,2266 Charlotte Oval
58,Realtor,250000,2562,3,5,32.609187,-97.129717,2288 St Martins Rowans
59,Realtor,452937,3924,3.5,4,32.57206,-97.153344,2310 Evans Mews
60,Realtor,715000,4367,3.5,4,32.583269,-97.211314,2332 Hurst Ln.
61,Realtor,639000,5598,4.5,4,32.583997,-97.211864,2354 Maxwell Drive
62,Realtor,299000,3912,3.5,5,32.563771,-97.06029,2376 Houghton Quay
63,Realtor,384900,2911,2.5,3,32.573717,-97.209076,2398 Caxton Point
64,Realtor,819900,5202,4.5,5,32.582821,-97.212052,2420 Whittle East
65,Realtor,65000,1232,2,2,32.530934,-97.197418,2442 Garden Copse
66,Realtor,79900,1992,2,3,32.530158,-97.196864,2464 Sherbourne Mill
67,By Owner,334000,2400,3,5,32.607063,-97.219882,2486 Copse Birches
68,By Owner,850000,2200,3,4,32.584019,-97.186687,2508 Acton Rd.
69,Realtor,188500,1629,2,4,32.60432,-97.129901,2530 Parc Y Mynydd
70,Realtor,210000,2019,2,4,32.606338,-97.1297,2552 Massie St.
71,Realtor,295000,2355,1.5,3,32.587206,-97.185087,2574 Rowland Newydd
72,Realtor,105000,1723,3,3,32.556647,-97.1275,2596 Penman Way
73,Realtor,283200,2753,3,4,32.607698,-97.132855,2618 Newland BRd.way
74,Realtor,140000,2150,1.5,3,32.572675,-97.13229,2640 Summergangs Ln.
75,Realtor,240000,2172,2,4,32.570499,-97.136274,2662 Quebec Row
76,Realtor,240000,2355,3,4,32.572441,-97.132745,2684 Miller Coppice
77,Realtor,359900,4411,3.5,4,32.552951,-97.072293,2706 Stony Ridge
78,Realtor,294750,2523,3,4,32.588932,-97.257779,2728 Portland Cir.
